time_step,flow_5min,flow_hour,speed_kmh
0,44.0,528.0,68.4
1,26.0,312.0,69.1
2,55.0,660.0,65.4
3,52.0,624.0,68.9
4,39.0,468.0,67.6
5,45.0,540.0,66.7
6,60.0,720.0,66.0
7,38.0,456.0,68.3
8,36.0,432.0,68.5
9,43.0,516.0,68.1
10,56.0,672.0,68.3
11,54.0,648.0,68.5
12,49.0,588.0,70.5
13,37.0,444.0,66.4
14,34.0,408.0,65.0
15,54.0,648.0,65.6
16,39.0,468.0,64.6
17,42.0,504.0,65.6
18,40.0,480.0,66.2
19,36.0,432.0,66.1
20,53.0,636.0,64.9
21,38.0,456.0,63.3
22,42.0,504.0,64.9
23,26.0,312.0,65.8
24,30.0,360.0,65.0
25,34.0,408.0,57.9
26,29.0,348.0,61.5
27,38.0,456.0,61.2
28,42.0,504.0,63.7
29,56.0,672.0,56.9
30,49.0,588.0,60.1
31,51.0,612.0,59.9
32,53.0,636.0,55.7
33,45.0,540.0,57.8
34,50.0,600.0,53.0
35,51.0,612.0,51.8
36,52.0,624.0,53.1
37,44.0,528.0,59.9
38,39.0,468.0,61.3
39,57.0,684.0,52.8
40,53.0,636.0,58.8
41,60.0,720.0,57.4
42,67.0,804.0,64.4
43,56.0,672.0,61.6
44,63.0,756.0,61.7
45,67.0,804.0,62.5
46,64.0,768.0,65.0
47,60.0,720.0,65.1
48,79.0,948.0,62.2
49,70.0,840.0,61.3
50,99.0,1188.0,64.7
51,103.0,1236.0,61.5
52,79.0,948.0,62.3
53,94.0,1128.0,63.3
54,95.0,1140.0,64.4
55,83.0,996.0,64.2
56,98.0,1176.0,65.0
57,91.0,1092.0,64.3
58,97.0,1164.0,66.3
59,78.0,936.0,68.4
60,102.0,1224.0,64.1
61,107.0,1284.0,66.2
62,82.0,984.0,63.7
63,105.0,1260.0,62.0
64,116.0,1392.0,60.8
65,108.0,1296.0,64.8
66,108.0,1296.0,61.0
67,107.0,1284.0,63.4
68,116.0,1392.0,67.2
69,103.0,1236.0,67.5
70,90.0,1080.0,71.2
71,123.0,1476.0,73.3
72,161.0,1932.0,71.4
73,108.0,1296.0,70.1
74,137.0,1644.0,68.4
75,140.0,1680.0,69.3
76,139.0,1668.0,71.6
77,138.0,1656.0,67.6
78,156.0,1872.0,65.0
79,171.0,2052.0,68.8
80,146.0,1752.0,69.2
81,157.0,1884.0,68.6
82,144.0,1728.0,69.1
83,164.0,1968.0,70.1
84,154.0,1848.0,66.6
85,159.0,1908.0,62.3
86,154.0,1848.0,59.4
87,191.0,2292.0,59.3
88,172.0,2064.0,60.0
89,154.0,1848.0,63.9
90,191.0,2292.0,63.4
91,156.0,1872.0,68.4
92,168.0,2016.0,68.9
93,167.0,2004.0,69.9
94,166.0,1992.0,63.9
95,168.0,2016.0,63.6
96,149.0,1788.0,57.6
97,156.0,1872.0,57.4
98,168.0,2016.0,57.5
99,177.0,2124.0,58.8
100,166.0,1992.0,57.5
101,169.0,2028.0,50.7
102,173.0,2076.0,51.7
103,193.0,2316.0,55.0
104,152.0,1824.0,52.7
105,173.0,2076.0,52.2
106,177.0,2124.0,53.4
107,176.0,2112.0,53.8
108,182.0,2184.0,53.1
109,151.0,1812.0,56.3
110,197.0,2364.0,57.5
111,199.0,2388.0,57.3
112,161.0,1932.0,57.2
113,181.0,2172.0,58.6
114,175.0,2100.0,52.6
115,201.0,2412.0,54.0
116,209.0,2508.0,51.7
117,181.0,2172.0,49.2
118,196.0,2352.0,49.9
119,184.0,2208.0,53.6
120,184.0,2208.0,53.3
121,164.0,1968.0,56.3
122,183.0,2196.0,58.1
123,160.0,1920.0,59.9
124,175.0,2100.0,54.0
125,181.0,2172.0,48.1
126,176.0,2112.0,50.1
127,191.0,2292.0,50.6
128,190.0,2280.0,51.4
129,176.0,2112.0,52.0
130,175.0,2100.0,47.6
131,171.0,2052.0,46.2
132,199.0,2388.0,48.3
133,189.0,2268.0,49.2
134,185.0,2220.0,50.4
135,181.0,2172.0,53.9
136,198.0,2376.0,54.1
137,187.0,2244.0,52.5
138,184.0,2208.0,46.5
139,200.0,2400.0,48.0
140,191.0,2292.0,46.1
141,191.0,2292.0,48.9
142,164.0,1968.0,49.6
143,204.0,2448.0,50.0
144,186.0,2232.0,49.6
145,179.0,2148.0,49.9
146,191.0,2292.0,54.2
147,194.0,2328.0,51.4
148,176.0,2112.0,46.7
149,189.0,2268.0,46.7
150,184.0,2208.0,46.5
151,190.0,2280.0,49.1
152,194.0,2328.0,54.2
153,214.0,2568.0,53.6
154,195.0,2340.0,53.9
155,224.0,2688.0,54.5
156,189.0,2268.0,57.2
157,187.0,2244.0,56.4
158,194.0,2328.0,54.9
159,165.0,1980.0,47.1
160,174.0,2088.0,48.3
161,187.0,2244.0,50.0
162,196.0,2352.0,48.1
163,187.0,2244.0,48.3
164,170.0,2040.0,50.1
165,177.0,2124.0,50.7
166,171.0,2052.0,49.3
167,207.0,2484.0,54.2
168,176.0,2112.0,53.6
169,176.0,2112.0,55.4
170,183.0,2196.0,57.8
171,186.0,2232.0,57.4
172,163.0,1956.0,54.9
173,189.0,2268.0,54.1
174,190.0,2280.0,53.9
175,187.0,2244.0,48.8
176,180.0,2160.0,55.2
177,178.0,2136.0,54.5
178,176.0,2112.0,52.0
179,181.0,2172.0,52.4
180,182.0,2184.0,49.7
181,190.0,2280.0,47.9
182,187.0,2244.0,48.9
183,183.0,2196.0,45.9
184,200.0,2400.0,46.8
185,191.0,2292.0,48.8
186,180.0,2160.0,46.1
187,209.0,2508.0,49.1
188,206.0,2472.0,50.6
189,207.0,2484.0,54.8
190,219.0,2628.0,58.6
191,182.0,2184.0,56.2
192,207.0,2484.0,57.4
193,201.0,2412.0,60.0
194,194.0,2328.0,60.2
195,217.0,2604.0,58.2
196,200.0,2400.0,59.0
197,193.0,2316.0,54.6
198,194.0,2328.0,56.9
199,203.0,2436.0,50.5
200,172.0,2064.0,52.8
201,217.0,2604.0,55.9
202,201.0,2412.0,55.7
203,212.0,2544.0,55.2
204,224.0,2688.0,56.2
205,191.0,2292.0,58.2
206,207.0,2484.0,56.5
207,164.0,1968.0,59.0
208,195.0,2340.0,57.7
209,194.0,2328.0,55.9
210,194.0,2328.0,59.9
211,188.0,2256.0,53.7
212,182.0,2184.0,50.7
213,191.0,2292.0,47.2
214,199.0,2388.0,55.1
215,191.0,2292.0,51.4
216,172.0,2064.0,51.1
217,178.0,2136.0,50.3
218,193.0,2316.0,54.0
219,189.0,2268.0,52.4
220,154.0,1848.0,51.0
221,179.0,2148.0,54.3
222,185.0,2220.0,57.0
223,179.0,2148.0,57.2
224,185.0,2220.0,54.4
225,184.0,2208.0,52.5
226,144.0,1728.0,57.4
227,183.0,2196.0,56.9
228,157.0,1884.0,54.3
229,155.0,1860.0,53.0
230,138.0,1656.0,54.6
231,144.0,1728.0,55.1
232,139.0,1668.0,58.4
233,169.0,2028.0,61.8
234,166.0,1992.0,56.9
235,149.0,1788.0,57.7
236,173.0,2076.0,59.5
237,170.0,2040.0,54.7
238,147.0,1764.0,57.9
239,124.0,1488.0,59.6
240,137.0,1644.0,58.5
241,143.0,1716.0,62.9
242,136.0,1632.0,64.8
243,129.0,1548.0,66.1
244,146.0,1752.0,69.2
245,122.0,1464.0,67.4
246,119.0,1428.0,66.5
247,134.0,1608.0,61.7
248,140.0,1680.0,53.3
249,149.0,1788.0,57.3
250,133.0,1596.0,58.9
251,109.0,1308.0,57.9
252,136.0,1632.0,62.3
253,111.0,1332.0,58.8
254,139.0,1668.0,58.2
255,128.0,1536.0,60.3
256,155.0,1860.0,64.1
257,128.0,1536.0,63.9
258,111.0,1332.0,61.3
259,127.0,1524.0,61.0
260,141.0,1692.0,61.8
261,110.0,1320.0,63.9
262,107.0,1284.0,65.6
263,127.0,1524.0,67.1
264,115.0,1380.0,60.9
265,115.0,1380.0,64.4
266,114.0,1368.0,63.1
267,124.0,1488.0,62.7
268,127.0,1524.0,60.4
269,89.0,1068.0,62.2
270,119.0,1428.0,66.4
271,95.0,1140.0,71.0
272,93.0,1116.0,68.0
273,98.0,1176.0,66.8
274,92.0,1104.0,65.3
275,75.0,900.0,66.9
276,100.0,1200.0,63.4
277,106.0,1272.0,64.8
278,76.0,912.0,67.4
279,76.0,912.0,67.7
280,83.0,996.0,65.5
281,105.0,1260.0,64.6
282,84.0,1008.0,67.2
283,84.0,1008.0,66.9
284,85.0,1020.0,65.3
285,69.0,828.0,62.9
286,67.0,804.0,64.0
287,75.0,900.0,65.0
288,81.0,972.0,68.6
289,79.0,948.0,67.8
290,64.0,768.0,62.4
291,69.0,828.0,62.4
292,55.0,660.0,59.8
293,70.0,840.0,55.2
294,53.0,636.0,57.5
295,44.0,528.0,61.1
296,43.0,516.0,62.9
297,66.0,792.0,66.4
298,62.0,744.0,63.0
299,45.0,540.0,64.5
300,50.0,600.0,65.4
301,50.0,600.0,64.9
302,54.0,648.0,63.1
303,36.0,432.0,63.8
304,43.0,516.0,63.6
305,57.0,684.0,59.0
306,44.0,528.0,64.0
307,48.0,576.0,60.8
308,40.0,480.0,65.0
309,42.0,504.0,62.8
310,47.0,564.0,60.3
311,46.0,552.0,63.7
312,49.0,588.0,65.0
313,51.0,612.0,62.2
314,46.0,552.0,61.6
315,45.0,540.0,57.3
316,39.0,468.0,61.5
317,42.0,504.0,62.1
