time_step,flow_5min,flow_hour,speed_kmh
0,13.0,156.0,65.0
1,13.0,156.0,65.0
2,9.0,108.0,65.0
3,9.0,108.0,65.0
4,7.0,84.0,65.0
5,5.0,60.0,65.0
6,11.0,132.0,64.8
7,8.0,96.0,65.0
8,8.0,96.0,64.9
9,10.0,120.0,64.9
10,9.0,108.0,64.9
11,12.0,144.0,64.8
12,2.0,24.0,64.8
13,2.0,24.0,64.9
14,3.0,36.0,64.6
15,2.0,24.0,64.8
16,3.0,36.0,64.8
17,7.0,84.0,64.7
18,2.0,24.0,64.7
19,4.0,48.0,64.8
20,3.0,36.0,65.0
21,4.0,48.0,65.1
22,2.0,24.0,65.0
23,3.0,36.0,65.2
24,5.0,60.0,65.1
25,5.0,60.0,65.0
26,6.0,72.0,65.1
27,3.0,36.0,65.1
28,1.0,12.0,65.1
29,2.0,24.0,65.1
30,4.0,48.0,65.3
31,3.0,36.0,65.1
32,1.0,12.0,65.4
33,2.0,24.0,65.4
34,3.0,36.0,65.2
35,1.0,12.0,65.2
36,3.0,36.0,65.0
37,3.0,36.0,64.9
38,2.0,24.0,65.1
39,3.0,36.0,65.0
40,5.0,60.0,64.8
41,4.0,48.0,64.8
42,3.0,36.0,65.0
43,1.0,12.0,64.9
44,4.0,48.0,64.9
45,2.0,24.0,65.0
46,6.0,72.0,65.1
47,3.0,36.0,65.1
48,4.0,48.0,65.1
49,2.0,24.0,64.9
50,3.0,36.0,64.9
51,5.0,60.0,64.9
52,5.0,60.0,64.9
53,2.0,24.0,64.9
54,9.0,108.0,65.0
55,13.0,156.0,64.9
56,16.0,192.0,65.1
57,11.0,132.0,65.0
58,16.0,192.0,65.0
59,10.0,120.0,65.1
60,8.0,96.0,64.9
61,11.0,132.0,64.9
62,11.0,132.0,64.9
63,13.0,156.0,65.0
64,27.0,324.0,65.2
65,22.0,264.0,65.2
66,10.0,120.0,65.1
67,18.0,216.0,64.8
68,32.0,384.0,64.8
69,28.0,336.0,65.0
70,29.0,348.0,64.9
71,35.0,420.0,64.9
72,29.0,348.0,65.2
73,30.0,360.0,64.6
74,37.0,444.0,64.6
75,23.0,276.0,64.8
76,40.0,480.0,65.0
77,35.0,420.0,65.0
78,41.0,492.0,63.8
79,50.0,600.0,63.4
80,51.0,612.0,64.5
81,49.0,588.0,64.7
82,50.0,600.0,65.0
83,58.0,696.0,64.2
84,42.0,504.0,64.6
85,36.0,432.0,64.7
86,40.0,480.0,64.9
87,62.0,744.0,65.1
88,52.0,624.0,66.3
